id,id_no,name_en,name_fr,short_description_en,short_description_fr,longitude,latitude,states_name_en,states_name_fr
1023,872,Historic Site of Lyon,Site historique de Lyon,"<p>The long history of Lyon, which was founded by the Romans in the 1st century B.C. as the capital of the Three Gauls and has continued to play a major role in Europe's political, cultural and economic development ever since, is vividly illustrated by its urban fabric and the many fine historic buildings from all periods.</p>","<p>La longue histoire de Lyon, fondée par les Romains en tant que capitale des Trois Gaules au I<sup>er</sup> siècle av. J.-C. et qui n'a cessé de jouer un rôle majeur dans le développement politique, culturel et économique de l'Europe depuis cette époque, est illustrée de manière extrêmement vivante par son tissu urbain et par de nombreux bâtiments historiques de toutes les époques.</p>",4.83333,45.76722,France,France
1025,873,"Provins, Town of Medieval Fairs","Provins, ville de foire médiévale","<p>The fortified medieval town of Provins is situated in the former territory of the powerful Counts of Champagne. It bears witness to early developments in the organization of international trading fairs and the wool industry. The urban structure of Provins, which was built specifically to host the fairs and related activities, has been well preserved.</p>","<p>La ville m&eacute;di&eacute;vale fortifi&eacute;e de Provins se situe au c&oelig;ur de l'ancienne r&eacute;gion des puissants comtes de Champagne. Elle t&eacute;moigne des premiers d&eacute;veloppements des foires commerciales internationales et de l'industrie de la laine. Provins a su pr&eacute;server sa structure urbaine, con&ccedil;ue sp&eacute;cialement pour accueillir des foires et des activit&eacute;s connexes.</p>",3.298888889,48.55972222,France,France
1088,932,Jurisdiction of Saint-Emilion,Juridiction de Saint-Émilion,"<p>Viticulture was introduced to this fertile region of Aquitaine by the Romans, and intensified in the Middle Ages. The Saint-Emilion area benefited from its location on the pilgrimage route to Santiago de Compostela and many churches, monasteries and hospices were built there from the 11th century onwards. It was granted the special status of a 'jurisdiction' during the period of English rule in the 12th century. It is an exceptional landscape devoted entirely to wine-growing, with many fine historic monuments in its towns and villages.</p>","<p>La viticulture a &eacute;t&eacute; introduite dans cette r&eacute;gion fertile d'Aquitaine par les Romains et s'est intensifi&eacute;e au Moyen &Acirc;ge. Le territoire de Saint-&Eacute;milion a b&eacute;n&eacute;fici&eacute; de sa situation sur la route de p&egrave;lerinage vers Saint-Jacques-de-Compostelle et plusieurs &eacute;glises, monast&egrave;res et hospices y ont &eacute;t&eacute; construits &agrave; partir du XI<sup>e</sup> si&egrave;cle. Le statut particulier de <em>juridiction</em> lui a &eacute;t&eacute; accord&eacute; au cours de la p&eacute;riode du gouvernement anglais au XII<sup>e</sup> si&egrave;cle. Il s'agit d'un paysage exceptionnel, enti&egrave;rement consacr&eacute; &agrave; la viticulture, dont les villes et villages comptent de nombreux monuments historiques de qualit&eacute;.</p>",-0.155277778,44.89472222,France,France
1358,1181,"Le Havre, the City Rebuilt by Auguste Perret","Le Havre, la ville reconstruite par Auguste Perret","<p>The city of Le Havre, on the English Channel in Normandy, was severely bombed during the Second World War. The destroyed area was rebuilt according to the plan of a team headed by Auguste Perret, from 1945 to 1964. The site forms the administrative, commercial and cultural centre of Le Havre. Le Havre is exceptional among many reconstructed cities for its unity and integrity. It combines a reflection of the earlier pattern of the town and its extant historic structures with the new ideas of town planning and construction technology. It is an outstanding post-war example of urban planning and architecture based on the unity of methodology and the use of prefabrication, the systematic utilization of a modular grid, and the innovative exploitation of the potential of concrete.</p>","<p>La ville du Havre, au bord de la Manche en Normandie, a été lourdement bombardée pendant la Seconde Guerre mondiale. La zone détruite a été reconstruite entre 1945 et 1964 d’après le plan d’une équipe dirigée par Auguste Perret. Le site forme le centre administratif, commercial et culturel du Havre. Parmi les nombreuses villes reconstruites, Le Havre est exceptionnel pour son unité et son intégrité, associant un reflet du schéma antérieur de la ville et de ses structures historiques encore existantes aux idées nouvelles en matière d’urbanisme et de technologie de construction. Il s’agit d’un exemple remarquable de l’architecture et l’urbanisme de l’après-guerre, fondé sur l’unité de méthodologie et le recours à la préfabrication, l’utilisation systématique d’une trame modulaire, et l’exploitation novatrice du potentiel du béton.</p>",0.1075,49.49278,France,France
1433,1256,"Bordeaux, Port of the Moon","Bordeaux, Port de la Lune","<p>The Port of the Moon, port city of Bordeaux in south-west France, is inscribed as an inhabited historic city, an outstanding urban and architectural ensemble, created in the age of the Enlightenment, whose values continued up to the first half of the 20th century, with more protected buildings than any other French city except Paris. It is also recognized for its historic role as a place of exchange of cultural values over more than 2,000 years, particularly since the 12th century due to commercial links with Britain and the Low Lands. Urban plans and architectural ensembles of the early 18th century onwards place the city as an outstanding example of innovative classical and neoclassical trends and give it an exceptional urban and architectural unity and coherence. Its urban form represents the success of philosophers who wanted to make towns into melting pots of humanism, universality and culture.</p>","<p>Le centre historique de cette ville portuaire située dans le sud-ouest de la France représente un ensemble urbain et architectural exceptionnel, créé à l’époque des Lumières, dont les valeurs ont perduré jusqu’à la première moitié du XXe siècle. Paris exclu, c’est la ville française qui compte le plus de bâtiments protégés. Elle voit aussi reconnaître son rôle historique en tant que centre d’échanges d’influences sur plus de 2 000 ans, en particulier depuis le XIIe siècle du fait des liens avec la Grande-Bretagne et les Pays-Bas. Les plans urbains et les ensembles architecturaux à partir du début du XVIIIe siècle font de la ville un exemple exceptionnel des tendances classiques et néoclassiques et lui confèrent une unité et une cohérence urbaine et architecturale remarquables. Son urbanisme représente le succès des philosophes qui voulaient faire des villes un creuset d’humanisme, d’universalité et de culture.</p>",-0.5722222222,44.8388888889,France,France
1514,1283,Fortifications of Vauban,Fortifications de Vauban,"<p>Fortifications of Vauban consists of 12 groups of fortified buildings and sites along the western, northern and eastern borders of France. They represent the finest examples of the work of Sébastien Le Prestre de Vauban (1633-1707), a military engineer of King Louis XIV. The serial property includes towns built from scratch by Vauban, citadels, urban bastion walls and bastion towers. There are also mountain forts, sea forts, a mountain battery and two mountain communication structures. This property is inscribed as bearing witness to the peak of classic fortifications, typical of western military architecture. Vauban also played a major role in the history of fortification in Europe and on other continents until the mid-19th century.</p>","<p>L’œuvre de Vauban comprend 12 groupes de bâtiments fortifiés et de constructions le long des frontières nord, est et ouest de la France. Ils constituent les meilleurs exemples du travail de Sébastien Le Prestre de Vauban (1633-1707), l’architecte militaire de Louis XIV. Cette série comprend des villes neuves créées ex-nihilo, des citadelles, des enceintes urbaines à bastions et des tours bastionnées. Y figurent aussi des forts de montagne, des forts de côte, une batterie de montagne et deux structures de communication en montagne. Ces sites sont inscrits en tant que témoins de l’apogée de la fortification bastionnée classique, typique de l’architecture militaire occidentale. Vauban a joué un rôle majeur dans l’histoire des fortifications en influençant l’architecture militaire en Europe, mais aussi sur les autres continents jusqu'au milieu du XIXe siècle.</p>",6.0269444444,47.2361111111,France,France
1531,1115,Lagoons of New Caledonia: Reef Diversity and Associated Ecosystems,Lagons de Nouvelle-Calédonie : diversité récifale et écosystèmes associés,"<p>This serial site comprises six marine clusters that represent the main diversity of coral reefs and associated ecosystems in the French Pacific Ocean archipelago of New Caledonia and one of the three most extensive reef systems in the world. These Lagoons are of exceptional natural beauty. They feature an exceptional diversity of coral and fish species and a continuum of habitats from mangroves to seagrasses with the world&rsquo;s most diverse concentration of reef structures. The Lagoons of New Caledonia display intact ecosystems, with healthy populations of large predators, and a great number and diversity of big fish. They provide habitat to a number of emblematic or threatened marine species such as turtles, whales or dugongs whose population here is the third largest in the world.</p>","<p>Ce bien en s&eacute;rie est compos&eacute; de six zones marines repr&eacute;sentant l&rsquo;ensemble de la diversit&eacute; des r&eacute;cifs et &eacute;cosyst&egrave;mes associ&eacute;s de cet archipel fran&ccedil;ais du Pacifique Sud, un des trois syst&egrave;mes r&eacute;cifaux les plus vastes du monde. Ces sites sont d&rsquo;une beaut&eacute; extraordinaire. On y trouve une diversit&eacute; exceptionnelle d&rsquo;esp&egrave;ces de coraux et de poissons, ainsi qu&rsquo;un continuum d&rsquo;habitats allant des mangroves aux herbiers et caract&eacute;ris&eacute; par une panoplie de structures r&eacute;cifales parmi les plus diversifi&eacute;es de la plan&egrave;te. Les lagons et r&eacute;cifs coralliens de Nouvelle-Cal&eacute;donie abritent des &eacute;cosyst&egrave;mes intacts peupl&eacute;s d'une biodiversit&eacute; marine exceptionnelle, compos&eacute;e de populations saines de grands pr&eacute;dateurs et d&rsquo;un nombre consid&eacute;rable de diff&eacute;rents poissons de grande taille. Ils offrent un habitat pour plusieurs esp&egrave;ces marines embl&eacute;matiques ou en danger, comme les tortues, les baleines ou les dugongs, ces derniers constituant la troisi&egrave;me population mondiale.</p>",164.5663888889,-20.4119444444,France,France
1565,165,Cistercian Abbey of Fontenay,Abbaye cistercienne de Fontenay,"<p>This stark Burgundian monastery was founded by St Bernard in 1119. With its church, cloister, refectory, sleeping quarters, bakery and ironworks, it is an excellent illustration of the ideal of self-sufficiency as practised by the earliest communities of Cistercian monks.</p>","<p>Fond&eacute;e en 1119 par saint Bernard, l'abbaye bourguignonne de Fontenay, &agrave; l'architecture d&eacute;pouill&eacute;e, avec son &eacute;glise, son clo&icirc;tre, son r&eacute;fectoire, son dortoir, sa boulangerie et sa forge, illustre bien l'id&eacute;al d'autarcie des premi&egrave;res communaut&eacute;s de moines cisterciens.</p>",4.38911,47.63944,France,France
1566,344,Pont du Gard (Roman Aqueduct),Pont du Gard,"The Pont du Gard was built shortly before the Christian era to allow the aqueduct of Nîmes (which is almost 50 km long) to cross the Gard river. The Roman architects and hydraulic engineers who designed this bridge, which stands almost 50 m high and is on three levels – the longest measuring 275 m – created a technical as well as an artistic masterpiece.","Le pont du Gard a été construit peu avant l&#39;ère chrétienne pour permettre à l&#39;aqueduc de Nîmes, long de près de 50 km, de franchir le Gardon. En imaginant ce pont de 50 m de haut à trois niveaux, dont le plus long mesure 275 m, les ingénieurs hydrauliciens et architectes romains ont créé un chef-d&#39;œuvre technique qui est aussi une œuvre d&#39;art.",4.535277778,43.94722222,France,France
1568,163,"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",Théâtre antique et ses abords et « Arc de Triomphe » d'Orange,"<p>Situated in the Rhone valley, the ancient theatre of Orange, with its 103-m-long facade, is one of the best preserved of all the great Roman theatres. Built between A.D. 10 and 25, the Roman arch is one of the most beautiful and interesting surviving examples of a provincial triumphal arch from the reign of Augustus. It is decorated with low reliefs commemorating the establishment of the Pax Romana.</p>","<p>Dans la vall&eacute;e du Rh&ocirc;ne, le th&eacute;&acirc;tre antique d'Orange, avec son mur de fa&ccedil;ade de 103 m de long, est l'un des mieux conserv&eacute;s des grands th&eacute;&acirc;tres romains. Construit entre 10 et 25, l'arc de triomphe romain d'Orange est l'un des plus beaux et des plus int&eacute;ressants arcs de triomphe provinciaux d'&eacute;poque august&eacute;enne qui nous soit parvenu, avec des bas-reliefs qui retracent l'&eacute;tablissement de la <em>Pax Romana</em>.</p>",4.808416667,44.13572222,France,France
1571,83,Palace and Park of Versailles,Palais et parc de Versailles,"<p>The Palace of Versailles was the principal residence of the French kings from the time of Louis XIV to Louis XVI. Embellished by several generations of architects, sculptors, decorators and landscape architects, it provided Europe with a model of the ideal royal residence for over a century.</p>","<p>Lieu de résidence privilégié de la monarchie française de Louis XIV à Louis XVI, le château de Versailles, embelli par plusieurs générations d'architectes, de sculpteurs, d'ornemanistes et de paysagistes, a été pour l'Europe pendant plus d'un siècle le modèle de ce que devait être une résidence royale.</p>",2.119444444,48.805,France,France
1572,84,"Vézelay, Church and Hill",Basilique et colline de Vézelay,"<p>Shortly after its foundation in the 9th century, the Benedictine abbey of V&eacute;zelay acquired the relics of St Mary Magdalene and since then it has been an important place of pilgrimage. St Bernard preached the Second Crusade there in 1146 and Richard the Lion-Hearted and Philip II Augustus met there to leave for the Third Crusade in 1190. With its sculpted capitals and portal, the Madeleine of V&eacute;zelay &ndash; a 12th-century monastic church &ndash; is a masterpiece of Burgundian Romanesque art and architecture.</p>","<p>Peu apr&egrave;s sa fondation au IXe si&egrave;cle, le monast&egrave;re b&eacute;n&eacute;dictin a acquis les reliques de sainte Marie-Madeleine et devint, depuis lors, un haut lieu de p&egrave;lerinage. Saint Bernard y pr&ecirc;cha la deuxi&egrave;me croisade (1146). Richard C&oelig;ur de Lion et Philippe Auguste s'y retrouv&egrave;rent au d&eacute;part de la troisi&egrave;me croisade (1190). La basilique Sainte-Madeleine, &eacute;glise monastique du XIIe si&egrave;cle, est un chef-d'&oelig;uvre de l'art roman bourguignon tant par son architecture que par ses chapiteaux et son portail sculpt&eacute;s.</p>",3.748333333,47.46638889,France,France
1604,1317,"Pitons, cirques and remparts of Reunion Island","Pitons, cirques et remparts de l’île de la Réunion","<p>The Pitons, cirques and remparts of Reunion Island site coincides with the core zone of La Réunion National Park. The property covers more than 100,000 ha or 40 % of La Réunion, an island comprising two adjoining volcanic massifs located in the south-west of the Indian Ocean. Dominated by two towering volcanic peaks, massive walls and three cliff-rimmed cirques, the property includes a great variety of rugged terrain and impressive escarpments, forested gorges and basins creating a visually striking landscape. It is the natural habitat for a wide diversity of plants, presenting a high level of endemism. There are subtropical rainforests, cloud forests and heaths creating a remarkable and visually appealing mosaic of ecosystems and landscape features.</p>","<p>Ce bien coïncide avec la zone centrale du Parc national de la Réunion. Il couvre une superficie de plus de 100 000 ha, soit 40% de la Réunion, une île composée de deux massifs volcaniques située dans le sud ouest de l'océan Indien. Dominé par deux pics volcaniques, le site présente une grande diversité d'escarpements, de gorges et de bassins boisés qui, ensemble, créent un paysage spectaculaire. Il sert d'habitat naturel à une grande diversité de plantes présentant un degré d'endémisme élevé. On y trouve des forêts ombrophiles subtropicales, des forêts de brouillard et des landes, le tout formant une mosaïque d'écosystèmes et de caractéristiques paysagères remarquables.</p>",55.48,-21.0994444444,France,France
1637,203,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt","De la grande saline de Salins-les-Bains à la saline royale d’Arc-et-Senans, la production du sel ignigène","<p>The Royal Saltworks of Arc-et-Senans, near Besançon, was built by Claude Nicolas Ledoux. Its construction, begun in 1775 during the reign of Louis XVI, was the first major achievement of industrial architecture, reflecting the ideal of progress of the Enlightenment. The vast, semicircular complex was designed to permit a rational and hierarchical organization of work and was to have been followed by the building of an ideal city, a project that was never realized.</p><p>The Great Saltworks of Salins-les-Bains was active for at least 1200 years until stopping activity in 1962. From 1780 to 1895, its salt water travelled through 21 km of wood pipes to the Royal Saltworks of Arc-et-Senans. It was built near the immense Chaux Forest to ensure its supply of wood for fuel. The Saltworks of Salins shelters an underground gallery from the 13<sup>th</sup> century including a hydraulic pump from the 19<sup>th</sup> century that still functions. The boiler house demonstrates the difficulty of the saltworkers’ labour to collect the “White Gold”.</p>","<p>La Saline Royale d'Arc-et-Senans, à proximité de Besançon, est l'œuvre de Claude Nicolas Ledoux. Sa construction, qui débuta en 1775 sous le règne de Louis XVI, est la première grande réalisation d'architecture industrielle qui reflète l'idéal de progrès du siècle des Lumières. <span style=""mso-ansi-language: FR;"" lang=""FR"">Ce vaste ouvrage semi circulaire fut conçu pour permettre une organisation rationnelle et hiérarchisée du travail. La construction initiale devait être suivie de l'édification d'une cité idéale, qui demeura à l'état de projet. </span></p><p>La Grande Saline de Salins-les-Bains fut en activité pendant 1200 ans, jusqu’en 1962. De 1780 à 1895, son eau salée a été acheminée sur une distance de 21km par des saumoducs jusqu’à la Saline Royale d’Arc-et-Senans, construite à proximité d’un massif forestier important pour en assurer le combustible. La Saline de Salins abrite une galerie souterraine du XIIIe siècle avec une pompe hydraulique du XIXe toujours en fonctionnement. La salle des Poêles laisse imaginer la pénibilité du travail des sauniers pour récolter l’Or Blanc.</p>",5.8763888889,46.9375,France,France
1663,1337,Episcopal City of Albi,Cité épiscopale d'Albi,"<p>On the banks of the Tarn river in south-west France, the old city of Albi reflects the culmination of a medieval architectural and urban ensemble. Today the Old Bridge (Pont-Vieux), the Saint-Salvi quarter and its church are testimony to its initial development (10th -11th centuries). Following the Albigensian Crusade against the Cathar heretics (13th century) it became a powerful episcopal city. Built in a unique southern French Gothic style from local brick in characteristic red and orange colours, the lofty fortified Cathedral (late 13th century) dominates the city, demonstrating the power regained by the Roman Catholic clergy. Alongside the Cathedral is the vast bishop&rsquo;s Palais de la Berbie, overlooking the river and surrounded by residential quarters that date back to the Middle Ages. The Episcopal City of Albi forms a coherent and homogeneous ensemble of monuments and quarters that has remained largely unchanged over the centuries.</p>","<p>Situ&eacute;e en bordure du Tarn, la vieille ville d'Albi, dans le sud-ouest de la France, refl&egrave;te l'&eacute;panouissement d'un ensemble architectural et urbain m&eacute;di&eacute;val dont t&eacute;moignent aujourd'hui encore Le Pont-Vieux, le bourg de Saint-Salvi et son &eacute;glise (10e-11e si&egrave;cle). Au 13e si&egrave;cle, la ville devint une puissante cit&eacute; &eacute;piscopale au lendemain de la croisade des Albigeois contre les Cathares. D'un style gothique m&eacute;ridional original &agrave; base de briques aux tons rouge et orang&eacute; fabriqu&eacute;es localement, la cath&eacute;drale fortifi&eacute;e qui domine la ville (XIIIe si&egrave;cle) illustre la puissance retrouv&eacute;e du clerg&eacute; romain. Elle est compl&eacute;t&eacute;e par le vaste palais &eacute;piscopal de la Berbie qui surplombe la rivi&egrave;re et est cern&eacute;e par des quartiers d'habitations datant du Moyen Age. La cit&eacute; &eacute;piscopale d'Albi forme un ensemble de monuments et de quartiers coh&eacute;rent et homog&egrave;ne qui n'a pas subi de changements majeurs au fil des si&egrave;cles.</p>",2.1425,43.9283333333,France,France
