title,title-en,category,region,position,website,address,desc-fr,desc-en,wiki-fr,wiki-en,popularity,credit-desc-fr,credit-desc-en
Centre d'Interprétation Marne 14-18,,museum,champagne,"[49.1318689,4.53171150000003]",www.marne14-18.fr,"4 Rlle Bayard BP 31, 51600 Suippes",,,,,1,,
Cascades du Hérisson Haut,,nature,franchecomte,"[46.6135302,5.86751230000004]",,"Aux Étroits, 39130 Bonlieu",,,,,1,,
Source du Lison,,nature,franchecomte,"[46.9656067,6.01186419999999]",,25330 Nans-Sous-Sainte-Anne,,,,,1,,
Fort Saint Antoine - Cave d'affinage Marcel Petite,,historical,franchecomte,"[46.7887531,6.33240909999995]",www.comte-petite.com,"Fort de Saint-Antoine, 25370 Saint-Antoine",,,,,1,,
Mosaïc Le jardin des Cultures,,nature,nord,"[50.5745058,2.98085249999997]",,"103 Rue Guy Môquet, 59263 Houplin-Ancoisne",,,,,1,,
Les Jardins de Marqueyssac,,nature,aquitaine,"[44.8254622,1.16461849999996]",www.marqueyssac.com,"Les Jardins de Marqueyssac, 24220 Vezac","Les jardins de Marqueyssac se situent sur la commune de Vézac, dans le département français  de la Dordogne, en région Nouvelle-Aquitaine. Ils sont inscrits sur la  liste des jardins remarquables de France.",,1444940,,1,Wikipédia : Jardins de Marqueyssac,
Basilique Notre-Dame d'Orcival,,historical,auvergne,"[45.6829305,2.84149579999996]",www.auvergnevolcansancy.com,"Place de la Basilique, 63210 Orcival","La basilique Notre-Dame est une église de style roman auvergnat située à Orcival dans le département français du Puy-de-Dôme en région Auvergne-Rhône-Alpes.
Elle fait partie des cinq églises romanes d'Auvergne dites « majeures », avec la basilique Notre-Dame-du-Port à Clermont-Ferrand, l'église Saint-Austremoine d'Issoire, l'église de Saint-Nectaire et l'église Notre-Dame de Saint-Saturnin.",,5097320,,1,Wikipédia : Basilique Notre-Dame d'Orcival,
Route des Vins,,nature,alsace,"[48.1326669,7.30386320000002]",https://www.route-des-vins-alsace.com,,"La route des vins d'Alsace est un itinéraire touristique qui parcourt la région viticole à la découverte des vins et de leur production. 
La route des vins d'Alsace, inaugurée en 1953 et la plus ancienne de France, s'étend sur plus de 170 kilomètres et 73 communes, à travers les départements du Haut-Rhin et du Bas-Rhin. Son emblème est le vin blanc.
C'est une activité économique faisant partie de l'œnotourisme, où celle-ci peut se pratiquer par différents modes de déplacements tel que la voiture, le vélo ou la marche.",,94307,,3,Wikipédia : Route des vins d'Alsace,
Festival Les Nuits Atypiques,,event,aquitaine,"[44.56337,-0.224990599999956]",www.nuitsatypiques.org,"Le Bourg, 33490 Saint-Macaire","Les Nuits atypiques est un festival de musique créé en 1992, à Langon (Gironde) qui se poursuit, depuis 2015, selon une formule itinérante en Sud Gironde.  Il a pour projet de valoriser la diversité culturelle en faisant découvrir des « musiques du monde », l’enjeu étant la découverte de l’altérité, la sensibilisation aux différences, le rejet du racisme et de l’intolérance, la prise de conscience citoyenne.
Des débats et des projections de films sont organisés, sur des sujets aussi divers que la dette du Tiers-Monde, l’agriculture paysanne, les droits de l’homme, les différences culturelles, la marchandisation du monde, le commerce équitable, la mondialisation financière, etc.
En 2017, le festival a eu lieu du 4 juin au 22 juillet dans 13 communes du Sud Gironde avec notamment Yannick Jaulin et Gaël Faye.",,2790688,,1,Wikipédia : Nuits atypiques,
Gorges de Kakuetta,,nature,aquitaine,"[42.9980582,-0.83993369999996]",www.sainte-engrace.com,"64560 Sainte-Engrace, France","Les gorges de Kakouetta sont situées sur le territoire de la commune de Sainte-Engrâce dans les Pyrénées basques, en province de Haute-Soule dans le département des Pyrénées-Atlantiques et la région Nouvelle-Aquitaine.",,476031,,1,Wikipédia : Gorges de Kakouetta,
Grottes d'Isturitz et d'Oxocelhaya,,museum,aquitaine,"[43.354133,-1.200515]",www.grottes-isturitz.com,"Quartier Herebehere, 64640 Saint-Martin-d'Arberoue","Les grottes d'Isturitz et d'Oxocelhaya (Izturitze eta Otsozelaiko leizeak, en basque), ou grottes d'Oxocelhaya et d'Isturits forment une série de grottes naturelles fréquentées à l'époque préhistorique situées sur le site naturel de la colline de Gaztelu dans la vallée de l'Arberoue, en Basse-Navarre dans le département des Pyrénées-Atlantiques. 
Elles font partie du réseau des grottes ornées de la chaîne pyrénéo-cantabrique et sont classées monuments historiques depuis 1953.",,447475,,1,Wikipédia : Grottes d'Isturitz et d'Oxocelhaya,
Musée des Beaux-Arts d’Agen,,museum,aquitaine,"[44.203152,0.616106700000046]",https://www.agen.fr/mes-loisirs/culture/musee-des-beaux-arts-356.html,"Place Dr Esquirol, 47916 Agen","Le musée des Beaux-Arts d'Agen est un des musées de la ville d'Agen, en Lot-et-Garonne (France).",,714717,,1,Wikipédia : Musée des Beaux-Arts d'Agen,
Château de Laréole,,historical,midi,"[43.736077,1.02363030000004]",www.hautegaronnetourisme.com,"Château de Laréole, 31480 Laréole",Le château de Laréole est un château Renaissance français datant du XVIe siècle situé sur  la commune de Laréole sur le canton de Cadours dans le département de la Haute-Garonne en région Occitanie près du Gers. Il a été construit par un riche pastelier toulousain et il appartient aujourd'hui au Conseil départemental de la Haute-Garonne.,,304535,,1,Wikipédia : Château de Laréole,
Abbaye de Brantôme,,historical,aquitaine,"[45.3645521,0.647239500000069]",www.perigord-dronne-belle.fr,"14 Boulevard Charlemagne, 24310 Brantôme","L'abbaye Saint-Pierre de Brantôme, située à Brantôme dans le département de la Dordogne, est une ancienne abbaye bénédictine fondée en 769 par Charlemagne dans le diocèse de Périgueux. Elle fut supprimée à la Révolution.
De nos jours, subsistent l’église abbatiale (XIe-XIIIe siècles), une partie du cloître (XIVe) et les bâtiments conventuels (XVIIIe), qui abritent deux musées municipaux ainsi que l'hôtel de ville de Brantôme.",,782020,,1,Wikipédia : Abbaye Saint-Pierre de Brantôme,
Masgot,,city,limousin,"[46.0358129,2.03538849999995]",www.masgot.fr,23480 Fransèches,"Masgot est un hameau de la commune de Fransèches, dans le département de la Creuse, en Nouvelle-Aquitaine. Le village est connu pour les nombreuses sculptures qui y ont été réalisées au XIXe siècle par François Michaud, considéré comme un pionnier de l'art brut en France.
Des stages de sculpture sur pierre et des visites guidées du village sont organisés périodiquement. La restauration du village a été soutenue par la Fondation du Patrimoine.",,10453878,,1,Wikipédia : Masgot,
Château des Ducs de Lorraine,,historical,lorraine,"[49.4407438,6.35827749999999]",www.chateau-sierck.com,"Rue du Château, 57480 Sierck-les-Bains","Le château des ducs de Lorraine est situé rue du Château à Sierck-les-Bains en Moselle dans le Pays des trois frontières (à la croisée des frontières allemande, luxembourgeoise et française).
Il fait l’objet d’un classement au titre des monuments historiques depuis février 1930.
Ce château fort installé sur un promontoire rocheux et dominant les méandres de la Moselle fut une des résidences favorites des ducs de Lorraine (XIe – XVIIe siècles). 
Citadelle aux portes du Royaume de France (XVIIe – XIXe siècles), le château installé sur son promontoire rocheux fut détruit et remanié de nombreuses fois. 
Le château des ducs de Lorraine est l'un des seuls forts du XIe siècle de l'est de la France, dont les murs d'enceinte, les casemates, les tours massives à meurtrières sont encore dans un état très imposant. Le château des ducs de Lorraine est membre du réseau des Grands Sites de Moselle. 
Le château présente une collection d'armes du XVe et du XVIe siècle dans son arsenal.",,575517,,1,Wikipédia : Château des ducs de Lorraine,
Citadelle de Bitche,,historical,lorraine,"[49.053692,7.43143699999996]",www.citadelle-bitche.com,"Rue Bombelles, 57230 Bitche","La citadelle se situe dans la commune française de Bitche et le département de la Moselle. Chef-d'œuvre de l'art militaire, la citadelle est le plus important site historique du Pays de Bitche.",,339408,,1,Wikipédia : Citadelle de Bitche,
Château du Haut-Kœnigsbourg,,historical,alsace,"[48.2494853,7.34448309999993]",www.haut-koenigsbourg.fr,67600 Orschwiller,,,,,1,,
Site archéologique Lattara - Musée Archéologique Henri Prades,,museum,languedoc,"[43.566216,3.9085374]",museearcheo.montpellier3m.fr,"390 Route de Pérols, 34970 Lattes","Le musée archéologique Henri-Prades est un musée archéologique situé dans la commune de Lattes, dans le département de l'Hérault (France). Il est nommé en l'honneur de l'archéologue Henri Prades, à l'origine des premières fouilles sur le site dans les années 1960. Il expose divers objets, notamment ceux découverts sur le site de Lattara, l'ancienne ville de Lattes.
Le musée est desservi par la ligne 3 du tramway de Montpellier.",,4839068,,1,Wikipédia : Musée archéologique Henri-Prades,
Moulin d'Eschviller,,nature,lorraine,"[49.1357269,7.36570470000004]",www.moulindeschviller.fr,"Rue du Moulin, 57720 Volmunster","Le moulin d'Eschviller ou d'Eschwiller Miel (en allemand : Eschweiler Muehle) est un moulin à grain et un écart d'Eschviller, petit village du pays de Bitche lui-même écart de la commune de Volmunster, dans le département de la Moselle.
L'acte de fondation du moulin date du 12 juillet 1731. Ravagé par un incendie en 1934, il fut quasiment détruit lors de la Seconde Guerre mondiale, laissé à l'abandon par son propriétaire. En 1979, des travaux de reconstruction sont lancés par le district de Volmunster. Le district décide, avec l'appui technique du Parc naturel régional des Vosges du Nord et de l'« Association des Amis du Moulin », d'en faire un ""Centre d'interprétation des techniques rurales"". Le nouveau site touristique rendant hommage aux métiers d'antan est ouvert en 1987.",,5561136,,1,Wikipédia : Moulin d'Eschviller,
Fête des Remparts à Dinan,,event,bretagne,"[48.4642458,-2.04120809999995]",www.fete-remparts-dinan.com,22100 Dinan,"La Fête des remparts de Dinan est une fête médiévale ayant lieu le troisième week-end de juillet une fois tous les deux ans.  
Créée en 1982, elle a connu un succès croissant au fil des années, les dernières éditions attirant environ 100 000 visiteurs.",,4305380,,1,Wikipédia : Fête des remparts,
Écomusée de Marquèze,,museum,aquitaine,"[44.1490722,-0.747204399999987]",www.marqueze.fr,"Route de Solférino, 40630 Sabres","L'écomusée de Marquèze est situé dans la commune de Sabres, dans le département français des Landes. Géré par le Parc naturel régional des Landes de Gascogne, il ouvre ses portes au public en 1970, ce qui en fait un des tout premiers écomusées créés en France.",,1395435,,1,Wikipédia : Marquèze,
Le Village Gaulois - L'Archéosite,,museum,midi,"[43.241201,1.15510900000004]",www.village-gaulois.org,"La Chaussée Rd 25, 31310 Rieux-Volvestre","Le village gaulois de Saint-Julien est un village reconstitué  de l'époque gauloise à vocations touristiques, pédagogiques et scientifiques  situé en France sur la commune de Rieux-Volvestre en limite de la commune de Saint-Julien-sur-Garonne dans le département de la Haute-Garonne et la région Midi-Pyrénées",,2687734,,1,Wikipédia : Village gaulois de Saint-Julien,
Musée de l'Armagnac de Condom,,museum,midi,"[43.9587227,0.37199970000006]",www.condom.org,"2 Rue Jules Ferry, 32100 Condom","Le musée de l’Armagnac se trouve à Condom (Gers), sur la Baïse qui, étant navigable, faisait de cette ville un centre important dans le négoce des eaux-de-vie. Il présente l’historique et les aspects de la production des eaux-de-vie d’Armagnac.",,3120505,,1,Wikipédia : Musée de l'Armagnac,
Palais Bénédictine,,historical,hautenormandie,"[49.7587998,0.367525099999966]",www.palaisbenedictine.com,"110 Rue Alexandre le Grand, 76400 Fécamp","Le palais Bénédictine est un édifice mêlant les styles néo-gothique et néo-renaissance, construit à la fin du XIXe siècle à Fécamp pour Alexandre-Prosper Le Grand, négociant en spiritueux et qui a fait fortune en inventant et commercialisant la liqueur Bénédictine.
L'édifice a été construit sur les plans de l'architecte Camille Albert (1852-1942), par le constructeur Ernest Baron avec des matériaux et des techniques locales. 
Il contient un musée présentant diverses collections (ivoires ouvragés, pièces de monnaie, serrures, tableaux religieux anciens…), mais aussi la distillerie proprement dite, ainsi que ses caves.
Un espace d'exposition, consacré à l'art contemporain, a été créé en 1988.",,237721,,1,Wikipédia : Palais Bénédictine,
Château de Vauville,,historical,bassenormandie,"[49.6356442,-1.84508019999998]",,"5 Le Carrefour, 50440 La Hague","Le manoir ou château de Vauville est une ancienne demeure seigneuriale du Cotentin, située à Vauville (Manche) dans la Hague.
Il a été véritablement construit par François-César de Costentin, seigneur de Vauville par sa femme, et frère du maréchal de Tourville. Son parc renferme aujourd'hui un Jardin botanique classé jardin remarquable en 2004.",,4771560,,1,Wikipédia : Manoir de Vauville,
Musée Aeroscopia,,museum,midi,"[43.6601453,1.36059890000001]",www.musee-aeroscopia.fr,"1 Allée André Turcat, 31700 Blagnac","Aeroscopia est un musée aéronautique français implanté à Blagnac (Haute-Garonne), près du site AéroConstellation, et accueille notamment deux exemplaires du Concorde, dont l'ouverture a eu lieu le 14 janvier 2015.",,7722076,,1,Wikipédia : Aeroscopia,
Vent des Forêts,,nature,lorraine,"[48.8963239,5.44001330000003]",ventdesforets.com,"21 Rue des Tassons, 55260 Fresnes-au-Mont","Vent des Forêts est un centre d'art, « espace d’art contemporain à ciel ouvert » situé dans le département de la Meuse, en Lorraine, créé en 1997 à l'initiative de six villages agricoles et forestiers.",,5722111,,1,Wikipédia : Vent des forêts,
Ferme-musée du Cotentin,,museum,bassenormandie,"[49.4147344,-1.31833019999999]",,"1 Rue de Beauvais, 50480 Sainte-Mère-Église","La Ferme-Musée du Cotentin de Sainte-Mère-Église, dans le département de la Manche en Normandie, conserve le patrimoine rural et agricole ancien et s'attache à maintenir et valoriser le patrimoine vivant, végétal ou animal, spécialement de Normandie.",,1653161,,1,Wikipédia : Ferme-musée du Cotentin,
Écomusée des mines de fer de Lorraine,,museum,lorraine,"[49.3254769,6.0278088]",www.musee-minesdefer-lorraine.com,"2 Rue du Musée, 57700 Neufchef",L’écomusée des mines de fer de Lorraine propose une immersion souterraine dans le cadre de vie et de travail des mineurs de fer lorrain de 1820 à nos jours.,,3869790,,1,Wikipédia : Écomusée des mines de fer de Lorraine,
Lac de la Triouzoune,,nature,limousin,"[45.395101,2.29252329999997]",,"Lac de la Triouzoune, 19160","Le lac de la Triouzoune, ou lac de Neuvic, est un lac de barrage français établi en Corrèze, entre les communes de Neuvic et de Liginiac.",,3049822,,1,Wikipédia : Lac de la Triouzoune,
Labyrinthe Géant des Monts de Guéret,,nature,limousin,"[46.147938,1.86106700000005]",www.labyrinthe-gueret.fr,"Route de Bourganeuf, 23000 Guéret","Les monts de Guéret sont un modeste massif granitique du nord-ouest du Massif central, faisant partie des monts de la Marche. Ponctuant le plateau marchois, prolongement nord-est du plateau limousin, ils s'insèrent entre la vallée de la Gartempe à l'ouest et la vallée de la Creuse à l'est, dominant la ville de Guéret et s'articulant autour du massif forestier de Chabrières.
Dans la forêt de Chabrières, les altitudes culminent à plus de 600 mètres pour atteindre 683 mètres sur le Maupuy et 689 mètres sur le puy de Chiroux (point culminant des monts de Guéret). Cette région granitique de moyenne montagne propose des paysages de semi-bocage aujourd’hui fortement concurrencés par les boisements forestiers.

L'appellation des monts de Guéret évoque également un territoire touristique situé autour de ce massif, regroupant en fait les 19 communes qui composent la communauté de communes de Guéret Saint-Vaury. La ville centre est Guéret (15 071 habitants), l’ensemble compte plus de 28 000 habitants.
Les monts de Guéret sont réputés pour leurs espaces de randonnée à pied, à cheval et à VTT. Ils comportent plusieurs lieux d'intérêt :

parc animalier des Monts de Guéret, dans la forêt de Chabrières. Ce parc ouvert depuis 2001 présente plusieurs meutes de loups réparties dans différents enclos ;
labyrinthe Géant des Monts de Guéret, situé aux portes de la forêt de Chabrières. Au travers de 4,5 km d'allées engazonnées, il propose aux visiteurs de retrouver leur chemin à l'aide de questionnaires thématiques ;
musée d’Art et d’Archéologie de Guéret (ou musée de la Sénatorerie de Guéret) : créé en 1832, le musée occupe l’ancien hôtel de la Sénatorerie. Les collections ont pour thème : l'histoire naturelle, l'archéologie celtique et gallo-romaine, les arts asiatiques, l'orfèvrerie limousine (émaux), des collections de peintures hollandaises, flamandes et françaises du XVe au XIXe siècle, ainsi que des œuvres consacrées aux peintres de la vallée de la Creuse (Armand Guillaumin (1841-1927), Fernand Maillaud, Maurice Leloir, etc.) et de l'école de Crozant.",,5039646,,1,Wikipédia : Monts de Guéret,
Château de Villemonteix,,historical,limousin,"[46.1078986,2.14322949999996]",www.chateau-villemonteix.cla.fr,23150 Saint-Pardoux-les-Cards,Le château de Villemonteix est situé à Saint-Pardoux-les-Cards dans le département de la Creuse et la région Nouvelle-Aquitaine.,,2966498,,1,Wikipédia : Château de Villemonteix,
Le Fort des Rousses,,historical,franchecomte,"[46.4799244,6.05500410000002]",www.fort-des-rousses.com,39220 Les Rousses,"Le fort des Rousses est un vaste ouvrage militaire construit sous le second empire  situé  sur une position dominante occidentale de  la commune des Rousses dans le Jura composé de trois bâtiments Cavalier, Quitry et Saint-Germain, parties visibles de plusieurs niveaux souterrains.",,4525925,,1,Wikipédia : Fort des Rousses,
Ruines de la Forteresse de Crozant,,historical,limousin,"[46.3940651,1.62083619999999]",www.limousin-medieval.com,"16 Route Isabelle d'Angouleme, 23160 Crozant",Le château  de Crozant est situé à Crozant dans le département de la Creuse et la région Nouvelle-Aquitaine. Le château est classé Monument historique depuis le 3 octobre 1997.,,2998249,,1,Wikipédia : Château de Crozant,
Parc Naturel Régional de Millevaches en Limousin,,nature,limousin,"[45.6426141,2.09501449999993]",www.pnr-millevaches.fr,"7 route d’Aubusson, 19290 Millevaches","Le parc naturel régional de Millevaches en Limousin est un parc naturel régional français créé en 2004, situé à cheval sur trois départements de la région Nouvelle-Aquitaine (Corrèze, Creuse, Haute-Vienne). Il est, dans l'ordre chronologique, le deuxième parc naturel du territoire régional limousin ; le premier, celui du Périgord-Limousin, date de 1998. Il est l'un des quatre PNR de la nouvelle grande région. Il est présidé depuis 2016 par Philippe Connan, conseiller municipal de Saint-Sulpice-les-Bois, qui succède à l'ancien conseiller régional de Corrèze Christian Audouin (PCF).
S'étendant sur 3 143 km2, ce qui en fait le sixième PNR par la superficie, le parc s'organise autour du plateau de Millevaches, vaste ensemble hercynien de nature granitique de la périphérie occidentale du Massif central, qui s'étage entre 400 et 1 000 mètres d'altitude et plusieurs plateaux et petits massifs périphériques. Le territoire concerné est représentatif d'une diversité de paysages humides de façade océanique (landes, tourbières, espaces boisés et prairies agricoles).
Le parc est peuplé de 37 673 habitants répartis sur 113 communes.
La maison du parc se situe à Millevaches (Corrèze), depuis 2015.",,743513,,1,Wikipédia : Parc naturel régional de Millevaches en Limousin,
Square du Vert-Galant,,nature,iledefrance,"[48.8573303,2.34042239999997]",www.parisinfo.com,"15 Place du Pont Neuf, 75001 Paris",Le square du Vert-Galant est un square du 1er arrondissement de Paris.,,1460745,,1,Wikipédia : Square du Vert-Galant,
Lac de Saint-Pardoux,,nature,limousin,"[46.0323849,1.28933110000003]",,Lac de Saint-Pardoux,"Le Lac de Saint-Pardoux est un lac artificiel situé en Haute-Vienne, à 25 km au nord de Limoges, créé à partir de 1968 (études), mis en eau en 1976 et inauguré en 1977. Il est par sa taille le deuxième plan d'eau de la Haute-Vienne, derrière le lac de Vassivière, avec lequel il est l'un des principaux lacs touristiques de la région.
Le lac représente plus de 330 hectares. 192 hectares sont réservés aux sports et loisirs calmes (voiles, pédalos...), 88 hectares au motonautisme et 50 hectares à la pêche. De multiples activités de plein air sont également proposées. La baignade est autorisée en juillet et août seulement.
Le lac est composé de 3 sites : Santrop, Chabannes, Fréaudour. Le site principal est celui de Santrop, où se situe la Maison du Lac qui accueille et informe les visiteurs.",,800838,,1,Wikipédia : Lac de Saint-Pardoux,
Pointe de l'Espiguette,,nature,languedoc,"[43.496656,4.12217299999998]",,"Pointe de l'Espiguette, 30240 Le Grau-du-Roi","La pointe de l'Espiguette est un vaste massif dunaire situé sur le littoral méditerranéen du département du Gard.  
Localisé à l'est du Grau-du-Roi, en Petite Camargue et à l'ouest de l'embouchure du Petit-Rhône sur près de 18 km de long et sur plusieurs centaines d'hectares. L'Espiguette est un site naturel sauvage, préservé mais fragile. Ses plages attirent chaque année de très nombreux touristes et baigneurs. 
Le phare de l'Espiguette, visible à plusieurs kilomètres de distance, est l'édifice majeur du site.",,5006585,,1,Wikipédia : Pointe de l'Espiguette,
Cirque de Mourèze,,nature,languedoc,"[43.6225295,3.3581332]",,34800 Mourèze,Le cirque de Mourèze est situé dans la commune de Mourèze dans le département de l'Hérault.,,1182626,,1,Wikipédia : Cirque de Mourèze,
Festival des Cerfs Volants Dieppe,,event,hautenormandie,"[49.9296268,1.07699070000001]",,"6 Boulevard Maréchal Foch, 76200 Dieppe","Le Festival international de Cerf-Volant de Dieppe, est un festival de cerf-volant se déroulant à Dieppe (Seine-Maritime) durant le mois de septembre tous les deux ans depuis 1980. Créé par Max Gaillard, le festival a ainsi donné le surnom à la ville de Dieppe de « Capitale du Cerf-Volant ».",,10309022,,1,Wikipédia : Festival International de Cerf-Volant de Dieppe,
Gorges De Galamus,,nature,languedoc,"[42.8365512,2.47993259999998]",www.gorgesdegalamus.fr,"Saint-Antoine, 66220 Saint-Paul-de-Fenouillet",Les gorges de Galamus sont un passage étroit entre les départements français de l'Aude et des Pyrénées-Orientales.,,268877,,1,Wikipédia : Gorges de Galamus,
Abbatiale Saint-Austremoine d'Issoire,,historical,auvergne,"[45.5435757,3.24996229999999]",www.issoire-tourisme.com,"Place Saint-Paul, 63500 Issoire","L'abbatiale Saint-Austremoine est une abbatiale de style roman auvergnat située à Issoire en Auvergne, dans le département français du Puy-de-Dôme en région Auvergne-Rhône-Alpes.
Elle fait partie des cinq églises romanes d'Auvergne dites « majeures », avec la basilique Notre-Dame-du-Port à Clermont-Ferrand, la basilique Notre-Dame d'Orcival, l'église de Saint-Nectaire et l'église Notre-Dame de Saint-Saturnin.",,5095736,,1,Wikipédia : Église Saint-Austremoine d'Issoire,
Albi Cité Episcopale,,city,midi,"[43.926943,2.14819080000007]",www.cite-episcopale-albi.fr,"Place du Vigan, 81000 Albi","La cité épiscopale d'Albi est un ensemble architectural essentiellement médiéval situé dans la ville d'Albi, en France. Sa construction est marquée par la brique rouge de terre cuite.
L'ancienne puissance politique et économique des évêques d'Albi transparaît dans les deux éléments majeurs, la cathédrale Sainte-Cécile et le palais de la Berbie. Ferme bastion catholique face au catharisme et au protestantisme, la ville a cependant connu un contre-pouvoir bourgeois, dont la présence est attestée par de remarquables hôtels particuliers.",,4863472,,3,Wikipédia : Cité épiscopale d'Albi,
Château d'Ô,,historical,bassenormandie,"[48.6478363,0.0877415999999585]",,61570 Mortrée,"Le château d'Ô est un édifice situé dans la commune de Mortrée, dans le département français de l'Orne, en Normandie.",,1378340,,1,Wikipédia : Château d'Ô (Orne),
Abbaye de la Chaise-Dieu,,historical,auvergne,"[45.320905,3.69661380000002]",www.abbaye-chaise-dieu.com,"140 Place de la Mairie, 43160 La Chaise-Dieu","L'abbaye de la Chaise-Dieu, en Auvergne, est une ancienne abbaye bénédictine, chef de l'ordre casadéen, située sur la commune de La Chaise-Dieu dans le département de la Haute-Loire.
L'abbaye bénédictine est réputée pour son architecture gothique, sa danse macabre, sa curieuse Salle des échos, sa tapisserie de L'Apparition du Christ à Marie-Madeleine et son festival de musique fondé en 1966 par Georges Cziffra.",,798836,,1,Wikipédia : Abbaye de la Chaise-Dieu,
Château de Merville,,historical,midi,"[43.7191722,1.30111390000002]",www.chateau-merville.com,"2 Place du Château, 31330 Merville",Le château de Merville est situé en France dans le département de la Haute-Garonne et la région Occitanie sur la commune de Merville.,,1526238,,1,Wikipédia : Château de Merville,
